date;ipsrc;ipdst;proto;portdst;ruleid;action;interin;interout
2022-03-07 18:23:59;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:00;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;8080;8;Permit;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;443;7;Permit;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;20;3;Permit;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;445;6;Permit;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 18:24:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 18:24:02;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:03;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:04;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:05;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:06;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:07;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:08;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:09;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:10;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:11;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:12;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:13;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:14;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:15;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:16;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:17;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:17;192.168.0.10;192.168.0.255;UDP;138;5;Permit;IN;
2022-03-07 18:24:17;192.168.0.10;192.168.0.255;UDP;138;5;Permit;IN;
2022-03-07 18:24:18;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:19;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:20;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:21;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:22;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:23;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:24;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:25;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:27;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:27;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:28;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:29;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:30;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:31;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:32;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:34;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:34;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:35;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:36;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:37;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:38;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:39;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:40;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:41;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:42;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:43;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:44;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:45;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:46;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:47;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:48;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:24:49;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
